apartment_id,apartment_nm,apartment_price,region_cd,region_nm,exclusive_area,deleted_yn,created_at,updated_at
217,가경푸르지오,520000000,43113,충청북도 청주시 흥덕구,43,0,2024.5.22 10:19,2024.5.22 10:19
218,가곡양우내안애아파트,230000000,46150,전라남도 순천시,26,0,2024.5.22 10:19,2024.5.22 10:19
219,가나노블휘닉스,240000000,50130,제주특별자치도 서귀포시,25,0,2024.5.22 10:19,2024.5.22 10:19
220,가나파로스빌1차,200000000,30200,대전광역시 유성구,18,0,2024.5.22 10:19,2024.5.22 10:19
221,가나휘닉스,275000000,50130,제주특별자치도 서귀포시,26,0,2024.5.22 10:19,2024.5.22 10:19
222,가든목화,50000000,47920,경상북도 봉화군,18,0,2024.5.22 10:19,2024.5.22 10:19
223,가든하이츠1,1040000000,27260,대구광역시 수성구,39,0,2024.5.22 10:19,2024.5.22 10:19
224,"가락3차쌍용스윗닷홈101동,102동",1000000000,11710,서울특별자치시 송파구,18,0,2024.5.22 10:19,2024.5.22 10:19
225,가락금호아파트,1105000000,11710,서울특별자치시 송파구,18,0,2024.5.22 10:19,2024.5.22 10:19
226,가락마을18단지,615000000,36110,세종특별자치시,31,0,2024.5.22 10:19,2024.5.22 10:19
227,가락마을19단지,598000000,36110,세종특별자치시,32,0,2024.5.22 10:19,2024.5.22 10:19
228,가락마을2단지,610000000,36110,세종특별자치시,34,0,2024.5.22 10:19,2024.5.22 10:19
229,가락우성2,900000000,11710,서울특별자치시 송파구,26,0,2024.5.22 10:19,2024.5.22 10:19
230,가락타운1,360000000,26380,부산광역시 사하구,26,0,2024.5.22 10:19,2024.5.22 10:19
231,가락타운3,256500000,26380,부산광역시 사하구,26,0,2024.5.22 10:19,2024.5.22 10:19
232,가람,100000000,28177,인천광역시 미추홀구,12,0,2024.5.22 10:19,2024.5.22 10:19
233,가람,2000000000,11680,서울특별시 강남구,23,0,2024.5.22 10:19,2024.5.22 10:19
234,가람,730000000,30170,대전광역시 서구,50,0,2024.5.22 10:19,2024.5.22 10:19
235,가람마을,139000000,27290,대구광역시 달서구,18,0,2024.5.22 10:19,2024.5.22 10:19
236,가람마을3단지동문굿모닝힐,300000000,41480,경기도 파주시,26,0,2024.5.22 10:19,2024.5.22 10:19
237,가람마을4단지한양수자인,480000000,41480,경기도 파주시,36,0,2024.5.22 10:19,2024.5.22 10:19
238,가람마을7단지한라비발디,478000000,41480,경기도 파주시,26,0,2024.5.22 10:19,2024.5.22 10:19
239,가람마을8단지동문굿모닝힐,325000000,41480,경기도 파주시,26,0,2024.5.22 10:19,2024.5.22 10:19
240,가로수마을선광로즈웰,414000000,43113,충청북도 청주시 흥덕구,26,0,2024.5.22 10:19,2024.5.22 10:19
241,가로수마을한라비발디,378000000,43113,충청북도 청주시 흥덕구,26,0,2024.5.22 10:19,2024.5.22 10:19
242,가로수마을호반베르디움,370000000,43113,충청북도 청주시 흥덕구,26,0,2024.5.22 10:19,2024.5.22 10:19
243,가림25차,220000000,41113,경기도 수원시 권선구,23,0,2024.5.22 10:19,2024.5.22 10:19
244,가수동늘푸른오스카빌,266000000,41370,경기도 오산시,26,0,2024.5.22 10:19,2024.5.22 10:19
245,가수주공,150000000,41370,경기도 오산시,14,0,2024.5.22 10:19,2024.5.22 10:19
